owner,repo_name,owner_type,fork,homepage,size,stars_cnt,language,forks_count,topics,created_at
SaiAkhil066,DeepSeek-RAG-Chatbot,User,False,,65.0,1448.0,Python,186.0,[],2025-01-30T10:15:46Z
EduKgs,entity_linking,Organization,False,,20001.0,146.0,Python,61.0,[],2024-04-26T06:37:10Z
OpenGVLab,MMT-Bench,Organization,False,,10294.0,108.0,Python,3.0,[],2024-04-18T14:42:59Z
snu-comparch,InfiniGen,Organization,False,,238.0,122.0,Python,23.0,[],2024-04-26T03:53:04Z
kealiu,ComfyUI-ZeroShot-MTrans,User,False,,9576.0,171.0,Python,10.0,[],2024-04-24T07:54:40Z
Vision-CAIR,MiniGPT4-video,Organization,False,https://vision-cair.github.io/Goldfish_website/,40612.0,614.0,Python,67.0,"['long-video-understanding', 'video-question-answering', 'video-retrieval', 'video-understanding']",2024-03-23T08:10:57Z
wangtz19,NetMamba,User,False,,1296.0,108.0,Python,11.0,"['mae', 'mamba', 'networking', 'pre-training', 'traffic-classification']",2024-05-17T04:11:17Z
tensorpool,tensorpool,Organization,False,https://tensorpool.dev/,102.0,101.0,Python,3.0,"['artificial-intelligence', 'deep-learning', 'gpu', 'machine-learning']",2025-01-20T06:42:49Z
neuralmagic,AutoFP8,Organization,False,,71.0,186.0,Python,25.0,[],2024-04-24T20:26:27Z
Event-AHU,Medical_Image_Analysis,Organization,False,,29674.0,127.0,Python,3.0,"['context-sample-retrieval', 'foundation-model', 'large-language-model', 'llm', 'mae', 'mamba', 'masked-auto-encoder', 'medical-image-analysis', 'medical-report-generation', 'pre-training', 'state-space-model', 'vision-language-model', 'x-ray-image']",2023-12-25T15:26:28Z
Om-Alve,smolGPT,User,False,,887.0,1342.0,Python,103.0,[],2025-01-12T14:49:21Z
LeCAR-Lab,ABS,Organization,False,https://agile-but-safe.github.io/,45153.0,330.0,Python,35.0,[],2024-01-29T19:36:07Z
weify627,4D-Rotor-Gaussians,User,False,,60938.0,141.0,Python,10.0,[],2024-05-18T22:31:15Z
facebookresearch,FixRes,Organization,False,,1502.0,1041.0,Python,148.0,[],2019-06-28T13:13:58Z
TIGER-AI-Lab,CritiqueFineTuning,Organization,False,https://tiger-ai-lab.github.io/CritiqueFineTuning/,39497.0,138.0,Python,10.0,"['fine-tuning', 'languagemodel']",2025-01-29T14:03:53Z
adoresever,DataGraphX_Learn,User,False,,3086.0,115.0,Python,18.0,[],2025-01-30T01:35:25Z
koa-fin,sep,User,False,,1514.0,130.0,Python,29.0,[],2024-02-20T12:32:41Z
OpenCodeInterpreter,OpenCodeInterpreter,User,False,https://opencodeinterpreter.github.io/,6086.0,1645.0,Python,206.0,[],2024-02-19T14:43:38Z
hubertsiuzdak,snac,User,False,https://hubertsiuzdak.github.io/snac/,5252.0,558.0,Python,32.0,"['audio', 'audio-codec', 'deep-learning']",2024-02-20T02:33:25Z
amd,gaia,Organization,False,https://github.com/amd/gaia,13388.0,325.0,Python,18.0,"['ai', 'amd', 'genai', 'ryzenai']",2024-12-16T01:25:56Z
sumo43,loopvlm,User,False,,36.0,131.0,Python,14.0,[],2024-05-18T14:11:00Z
Lightning-AI,LitServe,Organization,False,https://lightning.ai/litserve,949.0,3069.0,Python,199.0,"['ai', 'api', 'artificial-intelligence', 'deep-learning', 'developer-tools', 'fastapi', 'rest-api', 'serving', 'web']",2023-12-12T14:45:03Z
QhelDIV,ShapeFormer,User,False,https://shapeformer.github.io/,10116.0,200.0,Python,22.0,"['3d-reconstruction', '3dvision', 'generative-model', 'representation-learning', 'shape-completion']",2022-01-25T09:07:44Z
exx8,differential-diffusion,User,False,,4340.0,435.0,Python,24.0,[],2023-05-30T16:07:49Z
alexfazio,viral-clips-crew,User,False,http://orgent.ai,93278.0,466.0,Python,79.0,"['crewai', 'ffmpeg', 'whisper', 'yt-dlp']",2024-05-18T09:36:18Z
ENHANCE-PET,MOOSE,Organization,False,https://enhance.pet,47001.0,235.0,Python,32.0,"['3d-segmentation', 'bone-segmentation', 'brain-segmentation', 'ct-segmentation', 'fat-segmentation', 'muscle-segmentation', 'nnunet', 'organ-segmentation', 'pet-ct', 'psoas-segmentation', 'tb-pet', 'total-body-segmentation']",2022-03-24T11:48:24Z
Teddy-XiongGZ,MedRAG,User,False,https://teddy-xionggz.github.io/benchmark-medical-rag/,154.0,321.0,Python,49.0,[],2024-02-15T06:33:49Z
myshell-ai,MeloTTS,Organization,False,,5251.0,5956.0,Python,800.0,"['chinese', 'english', 'french', 'japanese', 'korean', 'multilingual', 'spanish', 'text-to-speech', 'tts']",2024-02-19T16:49:14Z
TinyLLaVA,TinyLLaVA_Factory,User,False,https://arxiv.org/abs/2402.14289,6286.0,800.0,Python,83.0,"['large-multimodal-models', 'llama', 'llava', 'nlp', 'tinyllama', 'transformers', 'vision-language']",2024-02-21T00:28:14Z
THUDM,CogVLM2,Organization,False,,14574.0,2336.0,Python,153.0,"['cogvlm', 'language-model', 'multi-modal', 'pretrained-models']",2024-05-10T09:07:11Z
NevermindNilas,TheAnimeScripter,User,False,,274809.0,142.0,Python,2.0,"['after-effects', 'aftereffects', 'deduplication', 'depth-estimation', 'enhancement', 'extendscript', 'interpolate', 'interpolation', 'python', 'python-script', 'scripting', 'segmentation', 'upscale', 'upscaling']",2023-11-14T22:10:11Z
chensjtu,GaussianObject,User,False,,21011.0,1042.0,Jupyter Notebook,70.0,[],2024-02-05T10:02:52Z
samxuxiang,BrepGen,User,False,,2502.0,293.0,Python,35.0,[],2024-03-11T16:25:13Z
chenyme,Chenyme-AAVT,User,False,,26439.0,2351.0,Python,193.0,"['faster-whisper', 'gpt-4', 'gpt-4o', 'speech-recognition', 'video-translation', 'whisper']",2023-12-18T04:06:03Z
santinic,audiblez,User,False,,12494.0,3252.0,Python,211.0,"['audiobooks', 'epub', 'kokoro', 'python', 'tts']",2025-01-14T14:36:20Z
EDiRobotics,GR1-Training,Organization,False,,3927.0,130.0,Python,5.0,[],2024-05-16T14:42:45Z
tencent-ailab,PCDMs,User,False,,63507.0,174.0,Jupyter Notebook,11.0,[],2023-10-26T13:30:44Z
rnadigital,agentcloud,Organization,False,https://agentcloud.dev,17850.0,608.0,TypeScript,124.0,"['ai', 'autogen', 'chatgpt', 'crewai', 'dockerized-application', 'genai', 'llm', 'model', 'nextjs', 'python', 'ui']",2023-10-23T03:17:08Z
nikhil-ghosh-berkeley,loraplus,User,False,,63.0,216.0,Python,19.0,[],2024-02-19T04:56:59Z
SpatialVLA,SpatialVLA,User,False,https://spatialvla.github.io/,5208.0,234.0,Python,10.0,"['generalist-robot-policies', 'huggingface', 'visual-language-action-model', 'vla']",2025-01-29T07:26:02Z
NJUNLP,ReNeLLM,Organization,False,,3604.0,102.0,Python,14.0,[],2024-01-09T03:15:26Z
zhaohengyuan1,Genixer,User,False,https://arxiv.org/abs/2312.06731,6309.0,107.0,Python,0.0,"['data-generation', 'data-generators', 'instruction-tuning', 'multimodal-large-language-models', 'multimodal-learning']",2024-04-30T12:11:16Z
rasbt,dora-from-scratch,User,False,https://magazine.sebastianraschka.com/p/lora-and-dora-from-scratch,42.0,202.0,Jupyter Notebook,15.0,"['finetuning', 'llm', 'pytorch']",2024-02-18T17:31:42Z
XiaoBuL,CM-UNet,User,False,,4254.0,139.0,Python,11.0,[],2024-05-15T13:50:31Z
njucckevin,SeeClick,User,False,,7157.0,361.0,HTML,17.0,[],2024-01-22T08:24:55Z
TARS-AI-Community,TARS-AI,Organization,False,https://docs-tars-ai.vercel.app/,632494.0,149.0,JavaScript,36.0,[],2024-12-26T21:58:26Z
chatsci,Aeiva,User,False,https://chatsci.github.io/Aeiva/,89985.0,100.0,Python,16.0,"['agent', 'ai', 'ai4science', 'computer-usage', 'computer-use', 'large-languge-models', 'llm', 'memory', 'multi-agent-system', 'multimodal', 'self-evolving-systems', 'world-model']",2023-05-29T07:02:53Z
AI-Hypercomputer,JetStream,Organization,False,,6623.0,317.0,Python,38.0,"['gemma', 'gpt', 'gpu', 'inference', 'jax', 'large-language-models', 'llama', 'llama2', 'llm', 'llm-inference', 'llmops', 'mlops', 'model-serving', 'pytorch', 'tpu', 'transformer']",2024-03-01T00:24:07Z
YOLOSHOW,YOLOSHOW,Organization,False,https://swimmingliu.cn/posts/diary/yoloshow,277551.0,447.0,Python,52.0,"['gui', 'rtdetr', 'yolo', 'yolo-show', 'yologui', 'yolov11', 'yolov5', 'yolov7', 'yolov8', 'yolov9']",2024-02-18T03:33:48Z
kousw,experimental-consistory,User,False,,30514.0,110.0,Python,5.0,[],2024-02-18T09:17:25Z
phildougherty,qwen2.5-VL-inference-openai,User,False,,16.0,176.0,Python,72.0,[],2025-01-28T20:48:16Z
ppisljar,pdf_translator,User,False,,21037.0,130.0,Python,34.0,[],2024-02-18T06:24:39Z
OATML-Markslab,ProteinNPT,Organization,False,,316.0,112.0,Python,10.0,['protein-design'],2023-10-28T11:41:05Z
NUS-HPC-AI-Lab,VideoSys,Organization,False,,17253.0,1955.0,Python,129.0,[],2024-02-17T08:40:35Z
VideoVerses,VideoTuna,Organization,False,,121016.0,447.0,Python,22.0,"['ai', 'aigc', 'content-production', 'fine-tuning-diffusion', 'text-to-video', 'video-generation', 'visual-art']",2024-11-01T03:15:30Z
KingNish24,OpenGPT-4o,User,False,,2240.0,207.0,Python,46.0,"['ai', 'gpt4all', 'gpt4free', 'gpt4o', 'open-source']",2024-05-16T15:46:57Z
landing-ai,vision-agent,Organization,False,,16052.0,4523.0,Python,511.0,[],2024-02-13T02:06:20Z
YifanXu74,Libra,User,False,,644.0,154.0,Python,2.0,[],2024-05-16T13:59:15Z
apapiu,transformer_latent_diffusion,User,False,,4025.0,178.0,Python,28.0,"['deep-learning', 'diffusion-models', 'generative-ai', 'latent-diffusion', 'pytorch', 'stable-diffusion']",2024-01-01T20:19:13Z
bytedance,decoupleQ,Organization,False,,237.0,139.0,Cuda,7.0,['research'],2024-04-19T08:18:27Z
honeyandme,RAGQnASystem,User,False,,66581.0,608.0,Jupyter Notebook,76.0,[],2024-05-16T10:05:22Z
Aquila-Network,aquila,Organization,False,https://aquila.network,1578.0,377.0,HTML,25.0,"['approximate-nearest-neighbor-search', 'aquila', 'embedding', 'faiss', 'feature-vectors', 'image-search', 'information-retrieval', 'information-retrieval-engine', 'knn-search', 'nearest-neighbor-search', 'neural-information-retrieval', 'neural-search', 'retrieval', 'search-engine', 'similarity-search', 'similarity-searches', 'vector-database', 'video-search']",2019-04-19T13:01:51Z
FasterDecoding,BitDelta,Organization,False,https://fasterdecoding.github.io/BitDelta/,7559.0,197.0,Jupyter Notebook,15.0,"['llm', 'quantization', 'serving']",2024-02-14T05:29:56Z
yuehaowang,bilarf,User,False,https://bilarfpro.github.io/,158.0,165.0,Python,9.0,"['3d-editing', '3d-graphics', 'bilateral-grid', 'nerf', 'photography', 'radiance-field', 'siggraph2024']",2024-05-15T16:22:38Z
zjunlp,MachineSoM,Organization,False,,26561.0,114.0,Python,9.0,"['agent', 'agent-learning', 'agents', 'artificial-intelligence', 'large-language-models', 'llm', 'machine-learning', 'natural-language-processing', 'society-of-mind', 'theory-of-mind']",2023-07-08T01:18:02Z
JigsawStack,insanely-fast-whisper-api,Organization,False,,105.0,265.0,Python,48.0,"['ai', 'api', 'openai', 'speech-to-text', 'whisper']",2024-02-17T14:08:21Z
iscyy,ultralyticsPro,User,False,https://github.com/iscyy/ultralyticsPro,60689.0,2691.0,Python,442.0,"['backbone', 'deep-learning', 'pytorch', 'rt-detr', 'transformer', 'yolo', 'yolo11', 'yoloair', 'yolov10', 'yolov3', 'yolov4', 'yolov5', 'yolov6', 'yolov7', 'yolov8']",2022-08-05T09:37:53Z
felipemaiapolo,tinyBenchmarks,User,False,,24883.0,151.0,Jupyter Notebook,16.0,[],2024-02-15T21:11:39Z
DD-DuDa,BitDistiller,User,False,,5435.0,109.0,Python,16.0,[],2024-01-03T11:19:12Z
scaleapi,llm-engine,Organization,False,https://llm-engine.scale.com,5993.0,799.0,Python,64.0,"['fine-tune', 'llm', 'python', 'scaleai']",2023-07-13T18:57:44Z
naoto0804,pytorch-inpainting-with-partial-conv,User,False,,2095.0,598.0,Python,134.0,"['cnn', 'inpainting', 'pytorch']",2018-06-04T11:26:56Z
Tomiinek,Multilingual_Text_to_Speech,User,False,,44598.0,836.0,Python,158.0,"['code-switching', 'multilingual', 'speech-synthesis', 'text-to-speech', 'tts', 'voice-cloning']",2019-08-06T17:01:29Z
samet-akcay,skip-ganomaly,User,False,,162.0,195.0,Python,64.0,"['anomaly-detection', 'ijcnn', 'novelty-detection', 'pytorch']",2018-05-30T08:43:47Z
naoto0804,pytorch-AdaIN,User,False,,7980.0,1110.0,Python,213.0,"['cnn', 'instance-normalization', 'pytorch', 'style-transfer']",2017-11-28T13:21:19Z
facebookresearch,NeuralDB,Organization,False,,249.0,354.0,Python,48.0,[],2021-04-09T13:05:23Z
mdy666,mdy_triton,User,False,,8189.0,118.0,Jupyter Notebook,13.0,[],2024-12-16T15:47:50Z
huangzh13,StyleGAN.pytorch,User,False,,39006.0,380.0,Python,77.0,"['cv', 'cvpr', 'cvpr19', 'cvpr2019', 'deep-learning', 'gan', 'gan-pytorch', 'generative-adversarial-network', 'pytorch', 'pytorch-implementation', 'pytorch-implmention', 'stylegan']",2019-10-17T06:18:46Z
beeevita,EvoPrompt,User,False,,2957.0,136.0,Python,20.0,[],2023-10-11T04:08:41Z
facebookresearch,CollaQ,Organization,False,,2578.0,131.0,Python,24.0,[],2020-07-30T03:42:14Z
tanganke,fusion_bench,User,False,https://tanganke.github.io/fusion_bench/,53323.0,121.0,Python,12.0,"['deep-neural-networks', 'large-language-models', 'machine-learning-algorithms', 'model-ensemble', 'model-fusion', 'model-merging', 'model-mixing', 'model-upscaling', 'multi-tasking']",2024-05-13T13:40:48Z
facebookresearch,tacto,Organization,False,,26997.0,377.0,Python,75.0,[],2020-12-15T01:26:39Z
treygrainger,ai-powered-search,User,False,https://aipoweredsearch.com,68454.0,256.0,Jupyter Notebook,65.0,"['ai', 'ai-powered-search', 'click-models', 'foundation-models', 'generative-search', 'hybrid-search', 'information-retrieval', 'large-language-models', 'learning-to-rank', 'multimodal-search', 'opensearch', 'personalized-search', 'question-answering', 'reflected-intelligence', 'search-engine', 'semantic-knowledge-graphs', 'semantic-search', 'solr', 'vector-database', 'vector-search']",2019-12-15T21:01:48Z
sbi-dev,sbi,Organization,False,https://sbi-dev.github.io/sbi/,113936.0,684.0,Python,188.0,"['bayesian-inference', 'likelihood-free-inference', 'machine-learning', 'parameter-estimation', 'pytorch', 'simulation-based-inference']",2020-02-11T13:31:28Z
jonfairbanks,local-rag,User,False,,57019.0,639.0,Python,79.0,"['large-language-models', 'llm', 'ollama', 'rag', 'retrieval-augmented-generation']",2024-02-15T07:28:30Z
HilaManor,AudioEditingCode,User,False,https://hilamanor.github.io/AudioEditing/,258718.0,162.0,Python,25.0,"['audio-editing', 'inversion', 'music-editing', 'text-guided-audio-editing', 'text-guided-audio-manipulation', 'unconditional-editing']",2024-02-16T09:36:15Z
SqueezeBits,QUICK,Organization,False,,514.0,116.0,Python,5.0,[],2024-02-15T11:41:28Z
nkasmanoff,pi-card,User,False,,1430.0,785.0,Python,38.0,[],2024-05-04T18:23:28Z
EleutherAI,cookbook,Organization,False,https://www.eleuther.ai/,55915.0,786.0,Python,40.0,[],2023-12-20T23:01:54Z
princeton-nlp,QuRating,Organization,False,https://arxiv.org/abs/2402.09739,3478.0,168.0,Python,13.0,[],2024-02-06T01:13:24Z
catid,dora,User,False,,24.0,294.0,Python,16.0,[],2024-02-16T01:26:12Z
ContextualAI,gritlm,Organization,False,https://arxiv.org/abs/2402.09906,11868.0,621.0,Jupyter Notebook,42.0,"['embedding', 'embedding-models', 'embeddings', 'grit', 'information-retrieval', 'instruction-tuning', 'llm', 'llms', 'mteb', 'retrieval', 'sbert', 'sgpt', 'text-embedding']",2024-02-15T23:24:49Z
AudiogenAI,agc,Organization,False,,232.0,134.0,Python,12.0,[],2024-02-15T12:08:18Z
astral-sh,uv,Organization,False,https://docs.astral.sh/uv,94616.0,50784.0,Rust,1427.0,"['packaging', 'python', 'resolver', 'uv']",2023-10-02T20:24:11Z
AnswerDotAI,ModernBERT,Organization,False,https://arxiv.org/abs/2412.13663,29852.0,1328.0,Python,111.0,"['bert', 'embeddings', 'llm', 'nlp']",2024-05-13T15:52:19Z
cvlab-kaist,DreamMatcher,User,False,,185356.0,168.0,Python,6.0,[],2024-02-13T02:49:24Z
lucidrains,ring-attention-pytorch,User,False,,1062.0,511.0,Python,31.0,"['attention-mechanism', 'distributed-attention', 'efficient-attention', 'long-context']",2024-02-14T14:37:51Z
1692775560,deepseek_project,User,False,,489.0,1383.0,HTML,236.0,[],2025-01-27T02:54:10Z
multimodal-art-projection,YuE,Organization,False,https://map-yue.github.io,33952.0,4831.0,Python,525.0,"['ai', 'audio-generation', 'deep-learning', 'foundation-models', 'gpt', 'huggingface', 'llama', 'llms', 'music-generation', 'style-transfers', 'voice-cloning']",2025-01-23T06:21:58Z
alphacep,vosk-tts,Organization,False,,16774.0,181.0,Python,23.0,[],2023-04-07T00:31:19Z
AntonioTepsich,Convolutional-KANs,User,False,,47041.0,853.0,Jupyter Notebook,88.0,"['cnn', 'computer-vision', 'deep-learning']",2024-05-07T02:55:56Z
AIR-Bench,AIR-Bench,Organization,False,,4968.0,137.0,Python,10.0,[],2024-05-05T05:15:29Z
McGill-NLP,weblinx,Organization,False,https://mcgill-nlp.github.io/weblinx,17685.0,146.0,Python,16.0,"['agent', 'agents', 'computer-vision', 'llm', 'multimodal', 'navigation', 'nlp', 'web']",2024-02-08T19:03:14Z
ZhengYinan-AIR,Diffusion-Planner,User,False,https://zhengyinan-air.github.io/Diffusion-Planner/,15581.0,387.0,Python,47.0,"['autonomous-driving', 'diffusion-models', 'imitation-learning', 'motion-planning', 'pytorch']",2024-11-21T13:20:26Z
nickgkan,3d_diffuser_actor,User,False,https://3d-diffuser-actor.github.io/,3692.0,299.0,Python,37.0,[],2024-02-11T03:42:37Z
ALucek,QuicKB,User,False,https://lucek.ai,1722.0,128.0,Python,25.0,"['embedding-models', 'fine-tuning', 'knowledge-base', 'retrieval-augmented-generation', 'sentence-transformers', 'synthetic-dataset-generation']",2025-01-22T00:02:08Z
LucaOne,LucaOne,User,False,https://doi.org/10.5281/zenodo.15171943,12908.0,211.0,Python,27.0,"['ai4biology', 'ai4science', 'deep-learning', 'embedding', 'generalized-biological-foundation-model', 'llm', 'nucleic-acid-and-protein-language', 'science', 'sequence-based-embedding']",2024-05-10T06:52:38Z
BinNong,meet-libai,User,False,,12933.0,1626.0,Python,209.0,[],2024-04-21T08:38:39Z
facebookresearch,jepa,Organization,False,,50.0,2947.0,Python,292.0,[],2024-02-12T15:34:31Z
AILab-CVC,YOLO-World,Organization,False,https://www.yoloworld.cc,3345.0,5323.0,Python,510.0,[],2024-01-29T02:04:07Z
valine,NeuralFlow,User,False,,44.0,357.0,Python,16.0,[],2024-02-13T04:22:29Z
ReproModel,repromodel,Organization,False,,96486.0,150.0,Python,22.0,"['ai', 'artificial-intelligence', 'comparison-tool', 'computer-vision', 'deep-learning', 'dl', 'experiment', 'explainable', 'interpretable', 'llm', 'machine-learning', 'ml', 'models-library', 'pipeline', 'reproducibility', 'reproducible-research', 'research-tool', 'statistics', 'toolbox']",2024-05-02T07:30:16Z
NVIDIA,ChatRTX,Organization,False,,36117.0,2950.0,Python,398.0,[],2023-10-18T12:57:53Z
hao-ai-lab,LookaheadDecoding,Organization,False,https://arxiv.org/abs/2402.02057,35092.0,1240.0,Python,74.0,[],2023-11-21T17:36:43Z
efeslab,fiddler,Organization,False,https://arxiv.org/abs/2402.07033,1807.0,208.0,Python,20.0,"['llm', 'llm-inference', 'local-inference', 'mixtral-8x7b', 'mixture-of-experts']",2024-02-05T01:01:27Z
sony,ctm,Organization,False,,2721.0,281.0,Python,14.0,[],2023-10-10T10:00:57Z
superagent-ai,super-rag,Organization,False,https://docs.superagent.sh,652.0,369.0,Python,56.0,"['agents', 'ai', 'embeddings', 'inference', 'rag', 'vector-database']",2024-01-13T21:06:28Z
huangjia2019,ai-agents,User,False,https://item.jd.com/14600442.html,11818.0,325.0,Jupyter Notebook,68.0,"['agent', 'ai', 'llm', 'nlp']",2024-05-10T10:40:28Z
jasonacox,TinyLLM,User,False,,774.0,239.0,JavaScript,28.0,"['artificial-intelligence', 'chatbot', 'large-language-models', 'llama-cpp-python', 'llm', 'openai', 'rag', 'retrieval-augmented-generation', 'vllm']",2023-09-12T03:48:46Z
fry404006308,fry_course_materials,User,False,,340326.0,710.0,Jupyter Notebook,172.0,[],2019-12-21T18:16:39Z
chenziwenhaoshuai,Vision-KAN,User,False,,137.0,246.0,Python,20.0,[],2024-05-14T07:50:49Z
LargeWorldModel,LWM,Organization,False,https://largeworldmodel.github.io/,4200.0,7271.0,Python,555.0,[],2024-02-08T04:16:42Z
reazon-research,ReazonSpeech,Organization,False,https://research.reazon.jp/projects/ReazonSpeech/,4143.0,281.0,Python,20.0,"['asr', 'nlp']",2022-10-14T06:16:54Z
mulanai,MuLan,Organization,False,,4686.0,135.0,Python,3.0,[],2024-04-12T05:39:03Z
OpenSenseNova,piccolo-embedding,Organization,False,,303.0,124.0,Python,6.0,[],2024-05-14T05:30:43Z
GCYZSL,MoLA,User,False,,206.0,132.0,Python,8.0,[],2024-02-13T15:26:48Z
niuzaisheng,ScreenAgent,User,False,https://arxiv.org/abs/2402.07945,276595.0,441.0,Python,44.0,"['agent', 'ai', 'llm', 'vlm']",2024-01-15T07:41:39Z
magic-research,piecewise-rectified-flow,Organization,False,,186828.0,499.0,Jupyter Notebook,30.0,[],2024-02-16T16:13:34Z
ai4protein,ProSST,Organization,False,,79951.0,112.0,Python,9.0,[],2024-05-14T02:53:12Z
RUCAIBox,Slow_Thinking_with_LLMs,Organization,False,,23825.0,643.0,Python,35.0,[],2024-12-12T04:13:25Z
modelscope,FunClip,Organization,False,,45292.0,4447.0,Python,512.0,"['gradio', 'gradio-python-llm', 'llm', 'speech-recognition', 'speech-to-text', 'subtitles-generator', 'video-clip', 'video-subtitles']",2023-05-17T07:23:44Z
huggingface,parler-tts,Organization,False,,318.0,5203.0,Python,550.0,[],2024-02-13T10:05:58Z
ggerganov,whisper.cpp,Organization,False,,21016.0,39422.0,C++,4136.0,"['inference', 'openai', 'speech-recognition', 'speech-to-text', 'transformer', 'whisper']",2022-09-25T18:26:37Z
harvard-lil,warc-gpt,Organization,False,https://lil.law.harvard.edu/blog/2024/02/12/warc-gpt-an-open-source-tool-for-exploring-web-archives-with-ai/,1739.0,247.0,Python,23.0,"['ai', 'rag', 'warc', 'webarchiving']",2023-10-23T21:11:17Z
TRI-ML,prismatic-vlms,Organization,False,,49.0,652.0,Python,439.0,[],2024-02-13T09:03:58Z
TRI-ML,vlm-evaluation,Organization,False,,3751.0,108.0,Python,12.0,[],2024-02-13T06:24:20Z
tsunghan-wu,SLD,User,False,https://self-correcting-llm-diffusion.github.io/,40894.0,172.0,Python,8.0,"['dalle-3', 'diffusion-models', 'image-editing', 'self-correction', 'stable-diffusion', 'text-to-image-generation']",2023-12-03T18:04:38Z
sigopt,sigopt-examples,Organization,False,,19420.0,199.0,Jupyter Notebook,64.0,[],2015-02-24T03:29:25Z
NVIDIA,NeMo-Guardrails,Organization,False,,40216.0,4674.0,Python,470.0,[],2023-04-18T12:32:47Z
